======== Coverage for /home/runner/work/avalanche/avalanche/avalanche/ =========
------------------------------ Detailed Coverage -------------------------------
| Name                                                                                 |  Status |
|   UCF101 (L149)                                                                      |  MISSED |
|   CelebA (L153)                                                                      |  MISSED |
|--------------------------------------------------------------------------------------|---------|
| benchmarks/datasets/clear/clear.py (module)                                          | COVERED |
|   CLEARDataset (L49)                                                                 | COVERED |
|     CLEARDataset.__init__ (L52)                                                      | COVERED |
|--------------------------------------------------------------------------------------|---------|
| benchmarks/datasets/clear/clear_data.py (module)                                     | COVERED |
|--------------------------------------------------------------------------------------|---------|
| benchmarks/datasets/core50/core50.py (module)                                        | COVERED |
|   CORe50Dataset (L31)                                                                | COVERED |
|     CORe50Dataset.__init__ (L34)                                                     | COVERED |
|   CORe50 (L240)                                                                      |  MISSED |
|--------------------------------------------------------------------------------------|---------|
| benchmarks/datasets/core50/core50_data.py (module)                                   | COVERED |
|--------------------------------------------------------------------------------------|---------|
| benchmarks/datasets/cub200/cub200.py (module)                                        | COVERED |
|   CUB200 (L36)                                                                       | COVERED |
|     CUB200.__init__ (L52)                                                            | COVERED |
|--------------------------------------------------------------------------------------|---------|
| benchmarks/datasets/endless_cl_sim/endless_cl_sim.py (module)                        | COVERED |
|   ClassificationSubSequence (L34)                                                    | COVERED |
|     ClassificationSubSequence.__init__ (L37)                                         | COVERED |
|   VideoSubSequence (L116)                                                            | COVERED |
|     VideoSubSequence.__init__ (L119)                                                 | COVERED |
|   EndlessCLSimDataset (L250)                                                         | COVERED |
|     EndlessCLSimDataset.__init__ (L253)                                              | COVERED |
|--------------------------------------------------------------------------------------|---------|
| benchmarks/datasets/endless_cl_sim/endless_cl_sim_data.py (module)                   | COVERED |
|--------------------------------------------------------------------------------------|---------|
| benchmarks/datasets/external_datasets/cifar.py (module)                              |  MISSED |
|   get_cifar10_dataset (L7)                                                           |  MISSED |
|   get_cifar100_dataset (L17)                                                         |  MISSED |
|   load_CIFAR100 (L27)                                                                |  MISSED |
|   save_CIFAR100 (L34)                                                                |  MISSED |
|   load_CIFAR10 (L42)                                                                 |  MISSED |
|   save_CIFAR10 (L49)                                                                 |  MISSED |
|--------------------------------------------------------------------------------------|---------|
| benchmarks/datasets/external_datasets/fmnist.py (module)                             |  MISSED |
|   get_fmnist_dataset (L7)                                                            |  MISSED |
|   load_FashionMNIST (L16)                                                            |  MISSED |
|   save_FashionMNIST (L23)                                                            |  MISSED |
|--------------------------------------------------------------------------------------|---------|
| benchmarks/datasets/external_datasets/mnist.py (module)                              |  MISSED |
|   TensorMNIST (L6)                                                                   |  MISSED |
|   get_mnist_dataset (L27)                                                            |  MISSED |
|   load_MNIST (L38)                                                                   |  MISSED |
|   save_MNIST (L45)                                                                   |  MISSED |
|--------------------------------------------------------------------------------------|---------|
| benchmarks/datasets/inaturalist/inaturalist.py (module)                              | COVERED |
|   pil_loader (L41)                                                                   | COVERED |
|   INATURALIST2018 (L54)                                                              | COVERED |
|     INATURALIST2018.__init__ (L91)                                                   |  MISSED |
|--------------------------------------------------------------------------------------|---------|
| benchmarks/datasets/inaturalist/inaturalist_data.py (module)                         | COVERED |
|   TqdmUpTo (L106)                                                                    | COVERED |
|     TqdmUpTo.update_to (L112)                                                        | COVERED |
|   INATURALIST_DATA (L126)                                                            | COVERED |
|     INATURALIST_DATA.__init__ (L131)                                                 | COVERED |
|     INATURALIST_DATA.download_inaturalist (L160)                                     | COVERED |
|--------------------------------------------------------------------------------------|---------|
| benchmarks/datasets/lvis_dataset/lvis_data.py (module)                               |  MISSED |
|--------------------------------------------------------------------------------------|---------|
| benchmarks/datasets/lvis_dataset/lvis_dataset.py (module)                            | COVERED |
|   LvisDataset (L41)                                                                  | COVERED |
|     LvisDataset.__init__ (L44)                                                       | COVERED |
|   LVISImgEntry (L213)                                                                |  MISSED |
|   LVISAnnotationEntry (L225)                                                         |  MISSED |
|   LVISImgTargets (L234)                                                              |  MISSED |
|   LVISDetectionTargets (L244)                                                        |  MISSED |
|     LVISDetectionTargets.__init__ (L245)                                             |  MISSED |
|--------------------------------------------------------------------------------------|---------|
| benchmarks/datasets/mini_imagenet/mini_imagenet.py (module)                          |  MISSED |
|   MiniImageNetDataset (L88)                                                          | COVERED |
|     MiniImageNetDataset.__init__ (L109)                                              | COVERED |
|     MiniImageNetDataset.get_train_path (L211)                                        |  MISSED |
|     MiniImageNetDataset.prepare_dataset (L217)                                       |  MISSED |
|--------------------------------------------------------------------------------------|---------|
| benchmarks/datasets/mini_imagenet/mini_imagenet_data.py (module)                     |  MISSED |
|--------------------------------------------------------------------------------------|---------|
| benchmarks/datasets/openloris/openloris.py (module)                                  | COVERED |
|   OpenLORIS (L28)                                                                    | COVERED |
|     OpenLORIS.__init__ (L31)                                                         | COVERED |
|--------------------------------------------------------------------------------------|---------|
| benchmarks/datasets/openloris/openloris_data.py (module)                             | COVERED |
|--------------------------------------------------------------------------------------|---------|
| benchmarks/datasets/penn_fudan/penn_fudan_data.py (module)                           |  MISSED |
|--------------------------------------------------------------------------------------|---------|
| benchmarks/datasets/penn_fudan/penn_fudan_dataset.py (module)                        |  MISSED |
|   default_mask_loader (L68)                                                          |  MISSED |
|   PennFudanDataset (L72)                                                             | COVERED |
|     PennFudanDataset.__init__ (L80)                                                  | COVERED |
|     PennFudanDataset.make_targets (L134)                                             |  MISSED |
|--------------------------------------------------------------------------------------|---------|
